Time (s),PHI2,R_W,D0,A0
-0.001607,1,1,1,1
-0.0016069,1,1,1,1
-0.0016068,0,1,1,1
-0.0016067,0,1,0,1
-0.0016066,0,1,0,1
-0.0016065,0,1,0,1
-0.0016064,0,1,0,1
-0.0016063,0,1,0,1
-0.0016062,1,1,0,0
-0.0016061,1,1,0,0
-0.001606,1,1,0,0
-0.0016059,1,1,0,0
-0.0016058,0,1,0,0
-0.0016057,0,1,0,1
-0.0016056,0,1,0,1
-0.0016055,0,1,1,1
-0.0016054,0,1,1,1
-0.0016053,1,1,1,1
-0.0016052,1,1,1,1
-0.0016051,1,1,1,1
-0.001605,1,1,1,1
-0.0016049,1,1,1,1
-0.0016048,0,1,0,0
-0.0016047,0,1,0,0
-0.0016046,0,1,0,0
-0.0016045,0,1,1,0
-0.0016044,0,1,1,0
-0.0016043,1,1,1,0
-0.0016042,1,1,0,0
-0.0016041,1,1,0,0
-0.001604,1,1,0,0
-0.0016039,1,1,0,0
-0.0016038,0,1,0,1
-0.0016037,0,1,0,1
-0.0016036,0,1,0,1
-0.0016035,0,1,1,1
-0.0016034,0,1,1,1
-0.0016033,1,1,1,0
-0.0016032,1,1,1,0
-0.0016031,1,1,1,0
-0.001603,1,1,0,0
-0.0016029,0,1,0,0
-0.0016028,0,1,0,1
-0.0016027,0,1,0,1
-0.0016026,0,1,0,1
-0.0016025,0,1,1,1
-0.0016024,0,1,1,1
-0.0016023,1,1,0,1
-0.0016022,1,1,1,1
-0.0016021,1,1,1,1
-0.001602,1,1,1,1
-0.0016019,0,1,1,1
-0.0016018,0,1,0,1
-0.0016017,0,1,0,1
-0.0016016,0,1,1,1
-0.0016015,0,1,1,1
-0.0016014,1,1,1,1
-0.0016013,1,1,0,0
-0.0016012,1,1,0,0
-0.0016011,1,1,0,0
-0.001601,1,1,0,0
-0.0016009,0,1,0,0
-0.0016008,0,1,0,0
-0.0016007,0,1,0,0
-0.0016006,0,1,0,0
-0.0016005,0,1,0,0
-0.0016004,1,0,1,0
-0.0016003,1,0,0,0
-0.0016002,1,0,0,0
-0.0016001,1,0,0,0
-0.0016,1,0,0,0
-0.0015999,0,0,0,1
-0.0015998,0,1,0,1
-0.0015997,0,1,0,1
-0.0015996,0,1,1,1
-0.0015995,0,1,1,1
-0.0015994,1,1,1,1
-0.0015993,1,1,1,1
-0.0015992,1,1,1,1
-0.0015991,1,1,1,1
-0.001599,1,1,1,1
-0.0015989,0,1,0,0
-0.0015988,0,1,0,0
-0.0015987,0,1,0,0
-0.0015986,0,1,1,0
-0.0015985,0,1,1,0
-0.0015984,1,1,1,0
-0.0015983,1,1,0,0
-0.0015982,1,1,0,0
-0.0015981,1,1,0,0
-0.001598,0,1,0,0
-0.0015979,0,1,0,1
-0.0015978,0,1,0,1
-0.0015977,0,1,0,1
-0.0015976,0,1,0,1
-0.0015975,0,1,0,1
-0.0015974,1,1,0,1
-0.0015973,1,1,0,1
-0.0015972,1,1,0,1
-0.0015971,1,1,0,1
-0.001597,0,1,0,1
-0.0015969,0,1,0,0
-0.0015968,0,1,0,0
-0.0015967,0,1,0,0
-0.0015966,0,1,0,0
-0.0015965,1,0,0,0
-0.0015964,1,0,0,0
-0.0015963,1,0,0,0
-0.0015962,1,0,0,0
-0.0015961,1,0,0,0
-0.001596,0,0,0,1
-0.0015959,0,1,0,1
-0.0015958,0,1,0,1
-0.0015957,0,1,1,1
-0.0015956,0,1,1,1
-0.0015955,1,1,1,0
-0.0015954,1,1,0,0
-0.0015953,1,1,0,0
-0.0015952,1,1,0,0
-0.0015951,1,1,0,0
-0.001595,0,1,0,1
-0.0015949,0,1,0,1
-0.0015948,0,1,0,1
-0.0015947,0,1,1,1
-0.0015946,0,1,1,1
-0.0015945,1,1,1,1
-0.0015944,1,1,1,1
-0.0015943,1,1,1,1
-0.0015942,1,1,1,1
-0.0015941,0,1,1,1
-0.001594,0,1,0,1
-0.0015939,0,1,0,1
-0.0015938,0,1,0,1
-0.0015937,0,1,1,1
-0.0015936,0,1,1,1
-0.0015935,1,1,0,0
-0.0015934,1,1,0,0
-0.0015933,1,1,0,0
-0.0015932,1,1,0,0
-0.0015931,0,1,0,0
-0.001593,0,1,0,1
-0.0015929,0,1,0,1
-0.0015928,0,1,1,1
-0.0015927,0,1,1,1
-0.0015926,1,1,1,1
-0.0015925,1,1,0,1
-0.0015924,1,1,1,1
-0.0015923,1,1,1,1
-0.0015922,1,1,1,1
-0.0015921,0,1,1,1
-0.001592,0,1,0,1
-0.0015919,0,1,0,1
-0.0015918,0,1,1,1
-0.0015917,0,1,1,1
-0.0015916,1,1,1,0
-0.0015915,1,1,0,0
-0.0015914,1,1,0,0
-0.0015913,1,1,0,0
-0.0015912,1,1,0,0
-0.0015911,0,1,0,1
-0.001591,0,1,0,1
-0.0015909,0,1,0,1
-0.0015908,0,1,1,1
-0.0015907,0,1,1,1
-0.0015906,1,1,1,0
-0.0015905,1,1,1,0
-0.0015904,1,1,1,0
-0.0015903,1,1,0,0
-0.0015902,1,1,0,0
-0.0015901,0,1,0,1
-0.00159,0,1,0,1
-0.0015899,0,1,0,1
-0.0015898,0,1,1,1
-0.0015897,0,1,1,1
-0.0015896,1,1,1,1
-0.0015895,1,1,1,1
-0.0015894,1,1,1,1
-0.0015893,1,1,1,1
-0.0015892,0,1,1,1
-0.0015891,0,1,0,1
-0.001589,0,1,0,1
-0.0015889,0,1,0,1
-0.0015888,0,1,1,1
-0.0015887,0,1,1,1
-0.0015886,1,1,0,0
-0.0015885,1,1,0,0
-0.0015884,1,1,0,0
-0.0015883,1,1,0,0
-0.0015882,0,1,0,0
-0.0015881,0,1,0,1
-0.001588,0,1,0,1
-0.0015879,0,1,1,1
-0.0015878,0,1,1,1
-0.0015877,0,0,1,0
-0.0015876,1,0,0,0
-0.0015875,1,0,0,0
-0.0015874,1,0,0,0
-0.0015873,1,0,0,0
-0.0015872,0,0,0,1
-0.0015871,0,1,0,1
-0.001587,0,1,0,1
-0.0015869,0,1,1,1
-0.0015868,0,1,1,1
-0.0015867,1,1,1,1
-0.0015866,1,1,1,1
-0.0015865,1,1,1,1
-0.0015864,1,1,1,1
-0.0015863,1,1,1,1
-0.0015862,0,1,0,1
-0.0015861,0,1,0,1
-0.001586,0,1,0,1
-0.0015859,0,1,1,1
-0.0015858,0,1,1,1
-0.0015857,1,1,1,0
-0.0015856,1,1,0,0
-0.0015855,1,1,0,0
-0.0015854,1,1,0,0
-0.0015853,0,1,0,0
-0.0015852,0,1,0,1
-0.0015851,0,1,0,1
-0.001585,0,1,0,1
-0.0015849,0,1,1,1
-0.0015848,0,1,1,1
-0.0015847,1,1,0,1
-0.0015846,1,1,0,1
-0.0015845,1,1,0,1
